"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "XML", "PostCSS", "Markdown", "HTML", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\src\App.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"f:\urbanReality\urban-reality-os\src\components\AuthModal.jsx", "JavaScript JSX", 0, 0, 147, 0, 0, 0, 0, 1, 16, 164
"f:\urbanReality\urban-reality-os\src\components\BottomLayers.jsx", "JavaScript JSX", 0, 0, 120, 0, 0, 0, 0, 4, 8, 132
"f:\urbanReality\urban-reality-os\src\components\CitySuggestions.jsx", "JavaScript JSX", 0, 0, 118, 0, 0, 0, 0, 11, 12, 141
"f:\urbanReality\urban-reality-os\src\components\CommandBar.jsx", "JavaScript JSX", 0, 0, 114, 0, 0, 0, 0, 1, 12, 127
"f:\urbanReality\urban-reality-os\src\components\ContextEngine.jsx", "JavaScript JSX", 0, 0, 58, 0, 0, 0, 0, 1, 5, 64
"f:\urbanReality\urban-reality-os\src\components\ControlDock.jsx", "JavaScript JSX", 0, 0, 148, 0, 0, 0, 0, 4, 10, 162
"f:\urbanReality\urban-reality-os\src\components\CoordinateDisplay.jsx", "JavaScript JSX", 0, 0, 59, 0, 0, 0, 0, 2, 10, 71
"f:\urbanReality\urban-reality-os\src\components\DebugPanel.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"f:\urbanReality\urban-reality-os\src\components\EconomicImpact.jsx", "JavaScript JSX", 0, 0, 56, 0, 0, 0, 0, 4, 9, 69
"f:\urbanReality\urban-reality-os\src\components\EconomicPanel.jsx", "JavaScript JSX", 0, 0, 84, 0, 0, 0, 0, 3, 7, 94
"f:\urbanReality\urban-reality-os\src\components\FacilityListPanel.jsx", "JavaScript JSX", 0, 0, 212, 0, 0, 0, 0, 2, 18, 232
"f:\urbanReality\urban-reality-os\src\components\FacilityStatsPanel.jsx", "JavaScript JSX", 0, 0, 110, 0, 0, 0, 0, 4, 17, 131
"f:\urbanReality\urban-reality-os\src\components\InfoPanel.jsx", "JavaScript JSX", 0, 0, 57, 0, 0, 0, 0, 5, 9, 71
"f:\urbanReality\urban-reality-os\src\components\InsightPanel.jsx", "JavaScript JSX", 0, 0, 58, 0, 0, 0, 0, 0, 3, 61
"f:\urbanReality\urban-reality-os\src\components\LayerToggle.jsx", "JavaScript JSX", 0, 0, 215, 0, 0, 0, 0, 3, 10, 228
"f:\urbanReality\urban-reality-os\src\components\LocationPanel.jsx", "JavaScript JSX", 0, 0, 137, 0, 0, 0, 0, 4, 17, 158
"f:\urbanReality\urban-reality-os\src\components\LocationPopup.jsx", "JavaScript JSX", 0, 0, 181, 0, 0, 0, 0, 9, 24, 214
"f:\urbanReality\urban-reality-os\src\components\MapMenu.jsx", "JavaScript JSX", 0, 0, 163, 0, 0, 0, 0, 5, 11, 179
"f:\urbanReality\urban-reality-os\src\components\MapView.jsx", "JavaScript JSX", 0, 0, 2187, 0, 0, 0, 0, 146, 250, 2583
"f:\urbanReality\urban-reality-os\src\components\MetricBar.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
