"filename", "language", "JavaScript", "XML", "HTML", "JSON", "JavaScript JSX", "Markdown", "PostCSS", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\src\layers\AqiLayerPlugin.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 10, 6, 78
"f:\urbanReality\urban-reality-os\src\layers\BaseLayerPlugin.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 49, 13, 136
"f:\urbanReality\urban-reality-os\src\layers\BuildLayerPlugin.js", "JavaScript", 309, 0, 0, 0, 0, 0, 0, 52, 62, 423
"f:\urbanReality\urban-reality-os\src\layers\BuildingsLayerPlugin.js", "JavaScript", 416, 0, 0, 0, 0, 0, 0, 40, 63, 519
"f:\urbanReality\urban-reality-os\src\layers\FacilityLayerPlugin.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 23, 13, 156
"f:\urbanReality\urban-reality-os\src\layers\FloodLayerPlugin.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 25, 11, 143
"f:\urbanReality\urban-reality-os\src\layers\LayerRegistry.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 43, 10, 109
"f:\urbanReality\urban-reality-os\src\layers\NDVILayerPlugin.js", "JavaScript", 191, 0, 0, 0, 0, 0, 0, 37, 41, 269
"f:\urbanReality\urban-reality-os\src\layers\PlanningLayerPlugin.js", "JavaScript", 212, 0, 0, 0, 0, 0, 0, 38, 42, 292
"f:\urbanReality\urban-reality-os\src\layers\PredictionLayerPlugin.js", "JavaScript", 192, 0, 0, 0, 0, 0, 0, 34, 36, 262
"f:\urbanReality\urban-reality-os\src\layers\TrafficLayerPlugin.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 12, 10, 89
"f:\urbanReality\urban-reality-os\src\layers\terrain\ElevationLayerPlugin.js", "JavaScript", 237, 0, 0, 0, 0, 0, 0, 25, 25, 287
"f:\urbanReality\urban-reality-os\src\layers\terrain\GreenCoverLayerPlugin.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 4, 19, 143
"f:\urbanReality\urban-reality-os\src\layers\terrain\HeatLayerPlugin.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 6, 16, 177
"f:\urbanReality\urban-reality-os\src\layers\terrain\RoadPlannerLayerPlugin.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 4, 27, 170
"f:\urbanReality\urban-reality-os\src\layers\terrain\SuitabilityLayerPlugin.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 4, 23, 165
"f:\urbanReality\urban-reality-os\src\layers\terrain\TerrainFloodPlugin.js", "JavaScript", 232, 0, 0, 0, 0, 0, 0, 30, 29, 291
"f:\urbanReality\urban-reality-os\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 4, 10, 60
"f:\urbanReality\urban-reality-os\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"f:\urbanReality\urban-reality-os\src\store\selectors.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 21, 17, 127
"f:\urbanReality\urban-reality-os\src\store\slices\authSlice.js", "JavaScript", 245, 0, 0, 0, 0, 0, 0, 28, 40, 313
"f:\urbanReality\urban-reality-os\src\store\slices\mapSlice.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 2, 4, 76
"f:\urbanReality\urban-reality-os\src\store\slices\simulationSlice.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"f:\urbanReality\urban-reality-os\src\store\slices\uiSlice.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 4, 63
"f:\urbanReality\urban-reality-os\src\store\slices\utils.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"f:\urbanReality\urban-reality-os\src\store\useMapStore.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\urbanReality\urban-reality-os\src\ui\animations\transitions.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"f:\urbanReality\urban-reality-os\src\ui\components\AccountSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 226, 0, 0, 23, 17, 266
"f:\urbanReality\urban-reality-os\src\ui\components\LoginModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 563, 0, 0, 22, 35, 620
"f:\urbanReality\urban-reality-os\src\ui\components\LoginModalNew.jsx", "JavaScript JSX", 0, 0, 0, 0, 515, 0, 0, 18, 25, 558
"f:\urbanReality\urban-reality-os\src\ui\components\LoginModal_backup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\urbanReality\urban-reality-os\src\ui\components\ToastContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 198, 0, 0, 27, 19, 244
"f:\urbanReality\urban-reality-os\src\ui\controls\LayerSwitcher.jsx", "JavaScript JSX", 0, 0, 0, 0, 313, 0, 0, 4, 15, 332
"f:\urbanReality\urban-reality-os\src\ui\layout\BottomBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"f:\urbanReality\urban-reality-os\src\ui\layout\ContextCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 150, 0, 0, 0, 15, 165
"f:\urbanReality\urban-reality-os\src\ui\layout\LeftDock.jsx", "JavaScript JSX", 0, 0, 0, 0, 79, 0, 0, 0, 8, 87
"f:\urbanReality\urban-reality-os\src\ui\layout\RightPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 4, 72
"f:\urbanReality\urban-reality-os\src\ui\layout\SavedPlaceItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 5, 64
"f:\urbanReality\urban-reality-os\src\ui\layout\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 4, 40
"f:\urbanReality\urban-reality-os\src\ui\layout\TopBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 4, 71
"f:\urbanReality\urban-reality-os\src\ui\layout\TopSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 10, 120
"f:\urbanReality\urban-reality-os\src\ui\panels\FacilityPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 70, 0, 0, 0, 7, 77
"f:\urbanReality\urban-reality-os\src\ui\panels\TerrainPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"f:\urbanReality\urban-reality-os\src\ui\panels\TrafficPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"f:\urbanReality\urban-reality-os\src\utils\aqi.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 6, 11, 69
"f:\urbanReality\urban-reality-os\src\utils\cache.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 21, 28, 179
"f:\urbanReality\urban-reality-os\src\utils\demographics.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 21, 12, 65
"f:\urbanReality\urban-reality-os\src\utils\economicLoss.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 6, 7, 37
"f:\urbanReality\urban-reality-os\src\utils\economics.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 2, 10, 119
"f:\urbanReality\urban-reality-os\src\utils\fetchers.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"f:\urbanReality\urban-reality-os\src\utils\gemini.js", "JavaScript", 146, 0, 0, 0, 0, 0, 0, 47, 30, 223
"f:\urbanReality\urban-reality-os\src\utils\impactModel.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 14, 20, 127
"f:\urbanReality\urban-reality-os\src\utils\performance.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 16, 17, 105
"f:\urbanReality\urban-reality-os\src\utils\rainfall.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"f:\urbanReality\urban-reality-os\src\utils\safeFetch.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 42, 24, 143
"f:\urbanReality\urban-reality-os\src\utils\savedPlaces.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 17, 102
"f:\urbanReality\urban-reality-os\src\utils\worldBank.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 17, 26, 154
"f:\urbanReality\urban-reality-os\src\workers\buildingSubmersionWorker.js", "JavaScript", 145, 0, 0, 0, 0, 0, 0, 0, 22, 167
"f:\urbanReality\urban-reality-os\src\workers\elevationIntelligenceWorker.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 1, 8, 63
"f:\urbanReality\urban-reality-os\src\workers\floodPropagationWorker.js", "JavaScript", 149, 0, 0, 0, 0, 0, 0, 8, 30, 187
"f:\urbanReality\urban-reality-os\src\workers\floodWorker.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 3, 9, 55
"f:\urbanReality\urban-reality-os\src\workers\geospatialIngestWorker.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 11, 85
"f:\urbanReality\urban-reality-os\src\workers\heatDynamicsWorker.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 2, 11, 72
"f:\urbanReality\urban-reality-os\src\workers\impactWorker.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 9, 12, 71
"f:\urbanReality\urban-reality-os\src\workers\planningWorker.js", "JavaScript", 203, 0, 0, 0, 0, 0, 0, 36, 40, 279
"f:\urbanReality\urban-reality-os\src\workers\predictionWorker.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 38, 39, 232
"f:\urbanReality\urban-reality-os\src\workers\satelliteWorker.js", "JavaScript", 203, 0, 0, 0, 0, 0, 0, 51, 49, 303
"f:\urbanReality\urban-reality-os\src\workers\simulationWorker.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 5, 9, 56
"f:\urbanReality\urban-reality-os\src\workers\terrainWorker.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 6, 42
"f:\urbanReality\urban-reality-os\tailwind.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 2, 15
"f:\urbanReality\urban-reality-os\vite.config.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"f:\urbanReality\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"Total", "-", 15926, 1, 82, 10580, 10570, 1775, 1284, 3506, 4397, 48121
